icd_version,icd_code
9,0003
9,0016
9,0045
9,0046
9,0047
9,0048
9,0055
9,0058
9,0060
9,0063
9,0064
9,0065
9,0070
9,0072
9,0073
9,0081
9,0082
9,0084
9,0085
9,0086
9,0204
9,045
9,0861
9,0862
9,0863
9,0869
9,0983
9,1041
9,1042
9,1044
9,1132
9,1161
9,1163
9,1285
9,1287
9,1663
9,1665
9,1711
9,1712
9,1713
9,1721
9,1722
9,1723
9,1724
9,2106
9,2107
9,2755
9,2756
9,2757
9,3193
9,3501
9,3505
9,3506
9,3507
9,3509
9,3511
9,3521
9,3522
9,3523
9,3525
9,3527
9,3560
9,3561
9,3562
9,3563
9,3593
9,3606
9,3607
9,3610
9,3611
9,3612
9,3613
9,3614
9,3615
9,3616
9,3617
9,3619
9,362
9,3631
9,3632
9,3633
9,3634
9,3639
9,3691
9,3732
9,3734
9,3804
9,3810
9,3811
9,3812
9,3813
9,3814
9,3815
9,3816
9,3818
9,3834
9,3844
9,3864
9,3884
9,3922
9,3923
9,3924
9,3925
9,3926
9,3928
9,3929
9,3951
9,3952
9,3954
9,3956
9,3957
9,3958
9,3966
9,3971
9,3972
9,3973
9,3974
9,3975
9,3976
9,3977
9,3978
9,3979
9,398
9,3981
9,3982
9,3983
9,3984
9,3985
9,3986
9,3987
9,3988
9,3989
9,3990
9,4052
9,4053
9,4287
9,4431
9,4686
9,4687
9,5187
9,5293
9,5303
9,5304
9,5305
9,5314
9,5315
9,5316
9,5317
9,5321
9,5329
9,5331
9,5339
9,5341
9,5342
9,5361
9,5362
9,5363
9,5369
9,5679
9,7053
9,7054
9,7055
9,7063
9,7064
9,7078
9,7093
9,7094
9,7095
9,7691
9,7770
9,7771
9,7772
9,7773
9,7774
9,7775
9,7776
9,7777
9,7778
9,7779
9,7800
9,7801
9,7802
9,7803
9,7804
9,7805
9,7806
9,7807
9,7808
9,7809
9,8053
9,8232
9,8234
9,8272
9,8279
9,8341
9,8343
9,8381
9,8382
9,8555
9,8582
9,8583
9,8584
9,8585
9,8660
9,8661
9,8662
9,8663
9,8665
9,8666
9,8667
9,8669
9,8670
9,8671
9,8672
9,8673
9,8674
9,8675
9,8687
9,8690
9,8691
9,8842
9,8848
9,8866
9,8877
9,8910
9,8956
9,9625
9,9705
9,9765
9,9964
10,001
10,0016070
10,0016071
10,0016072
10,0016073
10,0016074
10,0016075
10,0016076
10,0016077
10,0016078
10,001607A
10,001607B
10,00160J0
10,00160J1
10,00160J2
10,00160J3
10,00160J4
10,00160J5
10,00160J6
10,00160J7
10,00160J8
10,00160JA
10,00160JB
10,00160K0
10,00160K1
10,00160K2
10,00160K3
10,00160K4
10,00160K5
10,00160K6
10,00160K7
10,00160K8
10,00160KA
10,00160KB
10,00160ZB
10,0016370
10,0016371
10,0016372
10,0016373
10,0016374
10,0016375
10,0016376
10,0016377
10,0016378
10,001637A
10,001637B
10,00163J0
10,00163J1
10,00163J2
10,00163J3
10,00163J4
10,00163J5
10,00163J6
10,00163J7
10,00163J8
10,00163JA
10,00163JB
10,00163K0
10,00163K1
10,00163K2
10,00163K3
10,00163K4
10,00163K5
10,00163K6
10,00163K7
10,00163K8
10,00163KA
10,00163KB
10,00163ZB
10,0016470
10,0016471
10,0016472
10,0016473
10,0016474
10,0016475
10,0016476
10,0016477
10,0016478
10,001647A
10,001647B
10,00164J0
10,00164J1
10,00164J2
10,00164J3
10,00164J4
10,00164J5
10,00164J6
10,00164J7
10,00164J8
10,00164JA
10,00164JB
10,00164K0
10,00164K1
10,00164K2
10,00164K3
10,00164K4
10,00164K5
10,00164K6
10,00164K7
10,00164K8
10,00164KA
10,00164KB
10,00164ZB
10,001U072
10,001U074
10,001U076
10,001U077
10,001U079
10,001U0J2
10,001U0J4
10,001U0J6
10,001U0J7
10,001U0J9
10,001U0K2
10,001U0K4
10,001U0K6
10,001U0K7
10,001U0K9
10,001U372
10,001U374
10,001U376
10,001U377
10,001U379
10,001U3J2
10,001U3J4
10,001U3J6
10,001U3J7
10,001U3J9
10,001U3K2
10,001U3K4
10,001U3K6
10,001U3K7
10,001U3K9
10,001U472
10,001U474
10,001U476
10,001U477
10,001U479
10,001U4J2
10,001U4J4
10,001U4J6
10,001U4J7
10,001U4J9
10,001U4K2
10,001U4K4
10,001U4K6
10,001U4K7
10,001U4K9
10,015D0ZZ
10,015D3ZZ
10,015D4ZZ
10,015G0ZZ
10,015G3ZZ
10,015G4ZZ
10,018D0ZZ
10,018D3ZZ
10,018D4ZZ
10,018G0ZZ
10,018G3ZZ
10,018G4ZZ
10,019D00Z
10,019D0ZX
10,019D0ZZ
10,019D30Z
10,019D3ZX
10,019D3ZZ
10,019D40Z
10,019D4ZX
10,019D4ZZ
10,019G00Z
10,019G0ZX
10,019G0ZZ
10,019G30Z
10,019G3ZX
10,019G3ZZ
10,019G40Z
10,019G4ZX
10,019G4ZZ
10,01BD0ZX
10,01BD0ZZ
10,01BD3ZX
10,01BD3ZZ
10,01BD4ZX
10,01BD4ZZ
10,01BG0ZX
10,01BG0ZZ
10,01BG3ZX
10,01BG3ZZ
10,01BG4ZX
10,01BG4ZZ
10,01CD0ZZ
10,01CD3ZZ
10,01CD4ZZ
10,01CG0ZZ
10,01CG3ZZ
10,01CG4ZZ
10,01DD0ZZ
10,01DD3ZZ
10,01DD4ZZ
10,01DG0ZZ
10,01DG3ZZ
10,01DG4ZZ
10,01ND0ZZ
10,01ND3ZZ
10,01ND4ZZ
10,01NG0ZZ
10,01NG3ZZ
10,01NG4ZZ
10,01QD0ZZ
10,01QD3ZZ
10,01QD4ZZ
10,01QG0ZZ
10,01QG3ZZ
10,01QG4ZZ
10,01RD07Z
10,01RD0JZ
10,01RD0KZ
10,01RD47Z
10,01RD4JZ
10,01RD4KZ
10,01RG07Z
10,01RG0JZ
10,01RG0KZ
10,01RG47Z
10,01RG4JZ
10,01RG4KZ
10,01SD0ZZ
10,01SD3ZZ
10,01SD4ZZ
10,01SG0ZZ
10,01SG3ZZ
10,01SG4ZZ
10,01UD07Z
10,01UD0JZ
10,01UD0KZ
10,01UD37Z
10,01UD3JZ
10,01UD3KZ
10,01UD47Z
10,01UD4JZ
10,01UD4KZ
10,01UG07Z
10,01UG0JZ
10,01UG0KZ
10,01UG37Z
10,01UG3JZ
10,01UG3KZ
10,01UG47Z
10,01UG4JZ
10,01UG4KZ
10,01XD0ZD
10,01XD0ZF
10,01XD0ZG
10,01XD0ZH
10,01XD4ZD
10,01XD4ZF
10,01XD4ZG
10,01XD4ZH
10,01XF0ZD
10,01XF0ZG
10,01XF4ZD
10,01XF4ZG
10,01XG0ZD
10,01XG0ZF
10,01XG0ZG
10,01XG0ZH
10,01XG4ZD
10,01XG4ZF
10,01XG4ZG
